"competition_1_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_1_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_1_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_1_6_12_MLP_H-20_ES_block_mutate_ML.log","competition_3_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_3_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_3_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_3_6_12_MLP_H-20_ES_block_mutate_ML.log","ks1_6_12_M5P_M-5_ES_block_crossover_ML.log","ks1_6_12_M5P_M-5_ES_block_mutate_ML.log","ks1_6_12_MLP_H-20_ES_block_crossover_ML.log","ks1_6_12_MLP_H-20_ES_block_mutate_ML.log","ks2_6_12_M5P_M-5_ES_block_crossover_ML.log","ks2_6_12_M5P_M-5_ES_block_mutate_ML.log","ks2_6_12_MLP_H-20_ES_block_crossover_ML.log","ks2_6_12_MLP_H-20_ES_block_mutate_ML.log"
"9.402176242887985E-4","9.395441779569886E-4","9.390837447538632E-4","9.392817944243705E-4","0.0010370090401594016","0.001037372273020587","0.001036316623948738","0.0010361809316430841","0.0013959446369924244","0.00139263517907626","0.001394760993930331","0.001392942567515165","0.001807452088583124","0.0018064397921666153","0.0018093106225066052","0.0018081218401294315"
"9.392954410208025E-4","9.39622853045779E-4","9.39667802431622E-4","9.398761028693585E-4","0.0010365358224847586","0.001037293219282891","0.0010369540620832457","0.0010361544032533978","0.0013887482888917458","0.0013926681920684455","0.0013934583522468148","0.001393059015525365","0.0018114570473607204","0.0018053294607470551","0.0018100873332727477","0.0018044140138673212"
"9.396426528740147E-4","9.398325124572152E-4","9.399948924859057E-4","9.393767079467557E-4","0.0010360182985333388","0.0010368552490898943","0.0010367861055932295","0.001036625727137876","0.0013941410470652271","0.001390947945484871","0.0013967265755326257","0.0013891080065127738","0.0018072790668760812","0.0018091600898789953","0.0018081010347741158","0.0018135094355515385"
"9.396924070161274E-4","9.398515605182262E-4","9.393768054927828E-4","9.395463128727011E-4","0.0010366571154889548","0.001036419147743618","0.0010359910148678465","0.0010362743235390638","0.0013923048423986105","0.0013962142242196166","0.0013906251244535377","0.001391076373402097","0.0018132353130271388","0.0018074311005093976","0.0018110108180721643","0.0018125021202536457"
"9.395026345821412E-4","9.396305140682453E-4","9.393992728382145E-4","9.400538498530869E-4","0.0010366496501354131","0.0010367027701547143","0.0010362742417207513","0.0010367886438245096","0.0013961830507234194","0.0013913480953200907","0.0013935449432735398","0.0013914366529711238","0.0018114082412382388","0.0018127786149848594","0.0018112217320455117","0.001812217887643503"
"9.402531862897888E-4","9.399768911884292E-4","9.392646440645783E-4","9.406203664673022E-4","0.0010369675095138714","0.0010368357551944368","0.0010360339909551485","0.0010364812343523645","0.0013939974723131737","0.0013940178566385422","0.001392326142349072","0.0013929370819058262","0.0018103365451679833","0.0018105666807801484","0.0018056177755349252","0.0018128980100809862"
"9.396910604800137E-4","9.400910682865662E-4","9.40177099619572E-4","9.390237892651803E-4","0.0010372247398008027","0.001036965542256409","0.0010371870790836064","0.0010365042927568688","0.0013895186769787174","0.0013904556460170505","0.0013937217244587921","0.0013912143102186797","0.0018117206173612925","0.0018086073970177132","0.0018042649443842035","0.0018080098042402687"
"9.393152786541342E-4","9.398634739374242E-4","9.393037003249157E-4","9.396297459889523E-4","0.0010368834099511942","0.0010363959125570645","0.0010361445615478951","0.0010367809098598092","0.0013963579902673481","0.0013909310994548447","0.0013934350006688549","0.0013907636506613557","0.0018115321645724779","0.0018037362625069595","0.0018078528662268834","0.0018108921041616603"
"9.39740195449448E-4","9.396611872527745E-4","9.393887413831881E-4","9.396836914562048E-4","0.001036684626696675","0.0010366785898324941","0.0010368195197031876","0.00103691675511768","0.0013947722812741776","0.0013889245692078468","0.001390653096909629","0.0013925672892197032","0.0018045272346742707","0.001812570903529778","0.0018122047179014848","0.0018128615204667936"
"9.402759734103793E-4","9.393109611148284E-4","9.38990369674559E-4","9.400101470905039E-4","0.001036686647197747","0.0010374061852667987","0.0010361364086434715","0.0010371021518396646","0.0013960823376606068","0.0013931256754490626","0.0013915882449161625","0.0013903337203778506","0.001806287717854697","0.001808631870042792","0.0018084732421438717","0.0018074447567160345"
