"competition_1_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_1_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_1_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_1_6_12_MLP_H-20_ES_block_mutate_ML.log","competition_3_6_12_M5P_M-5_ES_block_crossover_ML.log","competition_3_6_12_M5P_M-5_ES_block_mutate_ML.log","competition_3_6_12_MLP_H-20_ES_block_crossover_ML.log","competition_3_6_12_MLP_H-20_ES_block_mutate_ML.log","ks1_6_12_M5P_M-5_ES_block_crossover_ML.log","ks1_6_12_M5P_M-5_ES_block_mutate_ML.log","ks1_6_12_MLP_H-20_ES_block_crossover_ML.log","ks1_6_12_MLP_H-20_ES_block_mutate_ML.log","ks2_6_12_M5P_M-5_ES_block_crossover_ML.log","ks2_6_12_M5P_M-5_ES_block_mutate_ML.log","ks2_6_12_MLP_H-20_ES_block_crossover_ML.log","ks2_6_12_MLP_H-20_ES_block_mutate_ML.log"
"9.391568208630698E-4","9.394784473904044E-4","9.373957590961044E-4","9.368889035543161E-4","0.0010410323718972438","0.0010405671430876481","0.001038039019951187","0.001036656935620668","0.0014028357222641054","0.0014036557151702873","0.0013922905151914512","0.0013903497399112325","0.001811496931875624","0.0018103240947740721","0.0018119977752387834","0.00180840384408463"
"9.402139581698313E-4","9.393560348457138E-4","9.39418737454718E-4","9.403771132676776E-4","0.0010413984173135607","0.0010399452068498662","0.0010367209520797639","0.0010364639060589384","0.0014039592344332473","0.0014077025996252954","0.0013940725004558054","0.0013905599289051084","0.0018123175249947652","0.0018064677574586839","0.0018151879640611978","0.0017859725919577062"
"9.400918087066317E-4","9.396030400836556E-4","9.398213216836632E-4","9.372917206775845E-4","0.001043298470672627","0.0010423511425765293","0.0010378675262284693","0.0010362058848060367","0.0013964668351096122","0.0014091466174526337","0.0013953391751539831","0.0013804173460827945","0.0018055590221129109","0.0018095603894421378","0.0018104495326250422","0.0018145164638274144"
"9.394743925541003E-4","9.401298740166462E-4","9.40045552331582E-4","9.378293284612906E-4","0.00104394746803924","0.0010399780293761452","0.0010365101401851788","0.0010369348098255987","0.0014034290452533196","0.0014058530827827488","0.0013950818913918413","0.0013948592649268648","0.001811849145883354","0.0018068377115193178","0.0017977865272201228","0.0018092758906542547"
"9.387109215767476E-4","9.389361838798246E-4","9.393268874817465E-4","9.395237052942447E-4","0.0010420133517409574","0.0010420154814355259","0.0010370451849759967","0.0010375797782603067","0.0013927313658495214","0.0014085515187643232","0.0013916140972005278","0.0013951155129547344","0.0018126921978580141","0.0018084050368148308","0.001807011842082535","0.0018135785281274137"
"9.392043609294347E-4","9.399869543768587E-4","9.39339756567083E-4","9.38287532342389E-4","0.0010416701938955931","0.0010412924729059226","0.0010370777398259565","0.0010377104621107586","0.001405366731235213","0.0014063891267813865","0.0013926906868041845","0.0013907771983962028","0.001810000424586858","0.001812767007947741","0.0017989718681211127","0.0018099962162138367"
"9.397793880744545E-4","9.394941976886011E-4","9.371672950463715E-4","9.333440259159291E-4","0.0010424604442953703","0.0010432018043206722","0.0010367922483921596","0.0010363040303360245","0.0014023645316048857","0.001411904632943085","0.0013961358729361213","0.0013944998621008068","0.0018105730478844449","0.0018118344198388273","0.0018056485197750637","0.0018102920272867998"
"9.391531143023316E-4","9.386387763495308E-4","9.407136906326173E-4","9.382023441967067E-4","0.001042313500838821","0.001041667774711201","0.001037269805477758","0.0010363302766951427","0.0014012399847624828","0.0014032563374925542","0.0013954009633618681","0.0013828070240980764","0.0018129661534764662","0.0018113171662671483","0.001802047206237721","0.0018100366861744641"
"9.394554391078308E-4","9.395765724572497E-4","9.366184626469536E-4","9.398014759937209E-4","0.0010440096727891562","0.0010429659743888587","0.001037364065593232","0.0010353740403613882","0.00139743144960987","0.0013999086962810268","0.0013943179287962562","0.00139399584195028","0.0018134607799717827","0.0018105117173554549","0.0018073851140070075","0.0017888753672043855"
"9.397324974586727E-4","9.394989832630194E-4","9.391570749225204E-4","9.398978517474946E-4","0.0010430037512622948","0.0010413208483981574","0.0010364785872295312","0.0010365774283881","0.0014055353933805884","0.0014012235199125556","0.001394680635881515","0.001390951455264446","0.001812194351684871","0.001808738499790791","0.0018136604384801727","0.0018052788223571802"
